airport_code,flights
ALA,142
TSE,101
IST,84
CIT,35
DXB,32
SCO,20
TBS,20
AKX,19
ICN,16
KUL,15
GUW,14
UKK,14
AYT,13
KZO,9
TAS,8
LED,7
BKK,7
URA,7
DMB,7
PWQ,6
GYD,5
DME,5
KBP,4
PLX,3
SVO,3
FRU,2
LHR,2
FRA,1
OMS,1
CDG,1
AMS,1
KSN,1
