,iata_code,latitude,longitude
193,AJF,29.785133,40.100006
194,AJI,39.654569,43.02715
195,AJJ,19.731667,-14.379444
196,AJK,34.138147,49.847292
197,AJL,23.746603,92.802767
198,AJN,-12.131667,44.430279
199,AJO,15.717,44.25
200,AJR,65.590278,19.281944
201,AJS,26.727222,-113.559444
202,AJU,-10.984,-37.070333
203,AJY,16.965997,8.000114
204,AKA,32.708056,108.931389
205,AKB,52.220586,-174.206183
206,AKC,41.0375,-81.466917
207,AKD,20.699006,77.058628
208,AKE,-1.129436,13.920506
209,AKF,24.178728,23.313958
210,AKG,-3.55,142.217
211,AKH,24.0627,47.580536
212,AKI,60.902889,-161.230583
213,AKJ,43.670833,142.4475
214,AKK,56.938691,-154.182556
215,AKL,-37.008056,174.791667
216,AKM,10.9,19.817
217,AKN,58.676493,-156.648691
218,AKO,40.175633,-103.222028
219,AKP,68.133597,-151.743342
220,AKQ,-4.612,105.232
221,AKR,7.246739,5.301008
222,AKT,34.590416,32.987861
223,AKU,41.2625,80.291667
224,AKV,60.818611,-78.148611
225,AKW,30.74445,49.677183
226,AKX,50.245833,57.206667
227,AKY,20.132708,92.872628
228,ALA,43.352072,77.040508
229,ALB,42.749111,-73.801972
230,ALC,38.282169,-0.558156
231,ALD,-11.683,-69.333
232,ALE,30.384222,-103.683583
233,ALF,69.976111,23.371667
234,ALG,36.694444,3.216944
235,ALH,-34.943333,117.808889
236,ALI,27.740889,-98.026944
237,ALJ,-28.575001,16.533332
238,ALK,7.967,39.117
239,ALL,44.050608,8.127428
240,ALM,32.839944,-105.990583
241,ALN,38.889917,-90.045989
242,ALO,42.557081,-92.400344
243,ALP,36.180675,37.224358
244,ALQ,-29.800274,-55.763054
245,ALR,-45.211667,169.373333
246,ALS,37.434917,-105.866556
247,ALT,-1.917499,-54.721111
248,ALU,11.95,50.733
249,ALV,42.506,1.522
250,ALW,46.094778,-118.289
251,ALX,32.914744,-85.962956
252,ALY,31.183903,29.948889
253,ALZ,56.899487,-154.247847
254,AMA,35.219361,-101.705917
255,AMB,-13.188431,48.987978
256,AMC,11.034,20.274
257,AMD,23.077242,72.63465
258,AME,-15.633,37.7
259,AMF,-4.1,141.667
260,AMG,-4.6,143.5
261,AMH,6.039389,37.590453
262,AMI,-8.560708,116.094656
263,AMJ,-16.165963,-40.684436
264,AMK,37.203178,-107.869195
265,AML,8.268056,-82.864944
266,AMM,31.722556,35.993214
267,AMN,43.322139,-84.687944
268,AMO,14.145556,15.314444
269,AMP,-24.699722,44.734167
270,AMQ,-3.710264,128.089136
271,AMR,7.083,171.683
272,AMS,52.308613,4.763889
273,AMT,-26.102778,131.206667
274,AMU,-3.583,141.2
275,AMV,69.763333,61.556389
276,AMW,41.992056,-93.621833
277,AMX,-21.739167,135.243056
278,AMY,-17.683,45.617
279,AMZ,-37.029722,174.973333
280,ANA,33.8125,-117.918889
281,ANB,33.588167,-85.858111
282,ANC,61.174361,-149.996361
283,AND,34.494583,-82.709389
